項目選択肢用コントロールカラム,商品管理番号（商品URL）,選択肢タイプ,Select/Checkbox用項目名,Select/Checkbox用選択肢,項目選択肢別在庫用横軸選択肢,項目選択肢別在庫用横軸選択肢子番号,項目選択肢別在庫用縦軸選択肢,項目選択肢別在庫用縦軸選択肢子番号,項目選択肢別在庫用取り寄せ可能表示,項目選択肢別在庫用在庫数,在庫戻しフラグ,在庫切れ時の注文受付,在庫あり時納期管理番号,在庫切れ時納期管理番号
n,xperia-z1-metalbumper,i,,, , ,グレー,-03Gry,0,2,0,0,,
n,xperia-z1-metalbumper,i,,, , ,シルバー,-04Slv,0,7,0,0,,
n,xperia-z1-metalbumper,i,,, , ,ゴールド,-05Gld,0,3,0,0,,
n,xperia-z1-screen,i,,, , ,グレア,-01glare,0,42,0,0,,
n,xperia-z1-screen,i,,, , ,ノングレア,-02non-glare,0,50,0,0,,
n,xperia-z1-screen,i,,, , ,鏡面,-03mirror,0,49,0,0,,
n,xperia-z1-silicone,i,,, , ,ブラック,-01Blk,0,90,0,0,,
n,xperia-z1-silicone,i,,, , ,ホワイト,-02Wht,0,97,0,0,,
n,xperia-z1-silicone,i,,, , ,レッド,-03Red,0,95,0,0,,
n,xperia-z1-silicone,i,,, , ,ピンク,-04Pnk,0,103,0,0,,
n,xperia-z1-silicone,i,,, , ,イエロー,-05Ylw,0,95,0,0,,
n,xperia-z1-silicone,i,,, , ,ブルー,-06Blu,0,92,0,0,,
n,xperia-z1-view-book,i,,, , ,ブラック,-01Blk,0,33,0,0,,
n,xperia-z1-view-book,i,,, , ,ホワイト,-02Wht,0,20,0,0,,
n,xperia-z1-view-book,i,,, , ,レッド,-03Red,0,19,0,0,,
n,xperia-z1-view-book,i,,, , ,マゼンタ,-04Mgt,0,16,0,0,,
n,xperia-z1-view-book,i,,, , ,ピンク,-05Pnk,0,18,0,0,,
n,xperia-z1-view-book,i,,, , ,ブルー,-06Blu,0,18,0,0,,
n,xperia-z1-view-book,i,,, , ,グリーン,-07Grn,0,17,0,0,,
n,xperiaz-book,i,,,<br>,,ブラック,-1-black,0,35,0,0,,
n,xperiaz-book,i,,,<br>,,ホワイト,-2-white,0,13,0,0,,
n,xperiaz-book,i,,,<br>,,ブラウン,-3-brown,0,9,0,0,,
n,xperiaz-book,i,,,<br>,,ピンク,-4-pink,0,31,0,0,,
n,xperiaz-book,i,,,<br>,,レッド,-5-red,0,17,0,0,,
n,xperiaz-diamond,i,,,<br>,,ブラック,-1-black,0,40,0,0,,
n,xperiaz-diamond,i,,,<br>,,グレー,-2-glay,0,28,0,0,,
n,xperiaz-diamond,i,,,<br>,,レッド,-3-red,0,44,0,0,,
n,xperiaz-diamond,i,,,<br>,,ブルー,-4-blue,0,27,0,0,,
n,xperiaz-diamond,i,,,<br>,,パープル,-5-purple,0,24,0,0,,
n,xperia-z-flower,i,,, , ,レッド,-01Red,0,111,0,0,,
n,xperia-z-flower,i,,, , ,ピンク,-02pnk,0,0,0,0,,
n,xperia-z-flower,i,,, , ,ミント,-03Mnt,0,61,0,0,,
n,xperia-z-flower,i,,, , ,ブラック,-04Blk,0,45,0,0,,
n,xperia-z-flower,i,,, , ,ホワイト,-05Wht,0,2,0,0,,
n,xperia-z-flower,i,,, , ,レッドパープル,-06Red-Pur,0,0,0,0,,
n,xperiaz-hardcase,i,,,<br>,,ホワイト,-1-white,0,18,0,0,,
n,xperiaz-hardcase,i,,,<br>,,ブラック,-2-black,0,12,0,0,,
n,xperiaz-hardcase,i,,,<br>,,レッド,-3-red,0,17,0,0,,
n,xperiaz-hardcase,i,,,<br>,,ピンク,-4-pink,0,30,0,0,,
n,xperiaz-hardcase,i,,,<br>,,マゼンタ,-5-magenta,0,33,0,0,,
n,xperiaz-hardcase,i,,,<br>,,イエロー,-6-yellow,0,14,0,0,,
n,xperiaz-hardcase,i,,,<br>,,ブルー,-7-blue,0,15,0,0,,
n,xperiaz-hardcase,i,,,<br>,,アクア,-8-aqua,0,17,0,0,,
n,xperiaz-hardcase,i,,,<br>,,パープル,-9-purple,0,12,0,0,,
n,xperiaz-metalbumper,i,,,<br>,,ブラック,-1-black,0,1,0,0,,
n,xperiaz-metalbumper,i,,,<br>,,シルバー,-2-silver,0,1,0,0,,
n,xperiaz-silicone,i,,,<br>,,クリア,-1-clear,0,15,0,0,,
n,xperiaz-silicone,i,,,<br>,,ブラック,-2-black,0,13,0,0,,
n,xperiaz-silicone,i,,,<br>,,レッド,-3-red,0,17,0,0,,
n,xperiaz-silicone,i,,,<br>,,ピンク,-4-pink,0,18,0,0,,
n,xperiaz-silicone,i,,,<br>,,マゼンタ,-5-magenta,0,19,0,0,,
n,xperiaz-silicone,i,,,<br>,,オレンジ,-6-orange,0,15,0,0,,
n,xperiaz-silicone,i,,,<br>,,イエロー,-7-yellow,0,12,0,0,,
n,xperiaz-silicone,i,,,<br>,,ブルー,-8-blue,0,17,0,0,,
n,xperiaz-silicone,i,,,<br>,,アクア,-9-aqua,0,13,0,0,,
n,xperiaz-silicone,i,,,<br>,,グリーン,-10-green,0,13,0,0,,
n,xperiaz-silicone,i,,,<br>,,パープル,-11-purple,0,20,0,0,,
